                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1087,                 1.6729,                0.93037,                0.29185,                0.18889,                0.13166,                0.04766,                 2.5603,                   3.08,                 1.5978,               0.000664,               0.000664,               0.000664
                      2,                 1.1208,                0.84739,                0.93952,                0.13752,                0.13333,                0.05343,                0.01833,                 2.4979,                 3.6301,                 1.5001,              0.0013043,              0.0013043,              0.0013043
                      3,                 1.1409,                0.82647,                0.94677,                0.16691,                0.10833,                0.05741,                0.01696,                 2.6362,                 3.8258,                 1.5687,              0.0019182,              0.0019182,              0.0019182
                      4,                 1.1192,                0.75972,                0.94406,                0.17295,                0.15556,                0.06853,                0.02458,                 2.6472,                  3.982,                 1.5834,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0846,                0.75002,                0.93619,                0.11245,                0.15278,                0.05081,                0.01603,                 2.7495,                 3.5311,                 1.5828,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.0679,                0.70509,                0.92077,                 0.1058,                0.08333,                0.02545,                0.00786,                 2.8374,                 4.0742,                  1.681,               0.001802,               0.001802,               0.001802
                      7,                  1.028,                0.67707,                0.91478,                0.18601,                0.16389,                 0.0821,                0.02403,                 2.6995,                 3.6385,                 1.6225,              0.0017624,              0.0017624,              0.0017624
                      8,                0.98965,                0.64569,                0.91019,                 0.2345,                0.12222,                0.09484,                0.03049,                 2.5718,                 3.5077,                 1.5436,              0.0017228,              0.0017228,              0.0017228
                      9,                0.98793,                0.63525,                0.90138,                0.27406,                0.16667,                0.12439,                0.04283,                 2.6367,                 3.4417,                 1.5543,              0.0016832,              0.0016832,              0.0016832
                     10,                0.96082,                0.60617,                0.89404,                0.16481,                0.09722,                0.04454,                0.01369,                 2.7092,                 3.4751,                 1.6379,              0.0016436,              0.0016436,              0.0016436
                     11,                 0.9372,                0.59009,                0.88896,                0.18703,                0.17222,                0.08395,                0.02572,                 2.6684,                 3.4821,                 1.5749,               0.001604,               0.001604,               0.001604
                     12,                0.92882,                0.56703,                0.88319,                 0.2838,                0.19167,                0.14417,                0.04936,                 2.6101,                 3.2146,                 1.6072,              0.0015644,              0.0015644,              0.0015644
                     13,                0.90703,                0.56369,                0.88149,                0.25478,                0.14167,                0.10547,                0.03614,                 2.5415,                 3.3263,                 1.5438,              0.0015248,              0.0015248,              0.0015248
                     14,                0.87365,                0.54181,                0.87217,                0.19727,                0.17407,                0.09237,                0.02983,                  2.608,                 3.3802,                 1.5624,              0.0014852,              0.0014852,              0.0014852
